CompanyID,CompanyName,Location,ContactEmail,IndustryType,Website,HRContact
20,"Serrano, Dominguez and Johnson",South Nicole,brownbrittany@sexton.com,Finance,http://bishop.com/,Michael Reed
21,"Martin, Robbins and Alexander",Jeffreyville,rwhite@stone.com,Finance,http://williams.com/,Michael Taylor
22,Moore-Santiago,Port Karenhaven,joseph10@sanders.net,Education,https://hansen.biz/,Christina Mccullough
23,Nunez Group,North Debra,francoanthony@young-howell.com,Education,https://schmidt-james.net/,Sara Johnson
24,Nguyen-Sullivan,North Daniel,cynthia63@parker.org,Technology,http://www.stevens.com/,Corey Stewart
25,"Wheeler, Thomas and Hubbard",East Sandra,heathercole@bradley.biz,Education,http://www.jennings.com/,Heather Holland
26,Gordon Ltd,Port Michelle,gallowaycarlos@morgan-thomas.com,Finance,https://www.monroe-cline.biz/,Jason Glenn
27,Decker Group,West Keith,vbrown@barker-buckley.com,Engineering,http://www.powell.com/,Jessica Perez
28,"Bell, Robinson and Davidson",Robertland,johnsoncameron@king-york.org,Engineering,https://www.heath.com/,Anna Griffin
29,Smith Inc,Connorfort,tmckay@decker.com,Engineering,https://hubbard.com/,Ronnie Garcia
30,Briggs-Sweeney,East Albert,leah56@wilkins.biz,Education,http://www.johnson-thompson.com/,Jason Jimenez
31,"Spence, Baker and Hawkins",Gordonfurt,joshua24@chapman.com,Marketing,https://hall.org/,Megan Robinson
32,"Ellis, Jimenez and Blair",South Sheila,kelly96@thomas-edwards.com,Finance,http://www.reed-evans.info/,Michelle Pennington
33,Sanders-Adams,Davidview,trandeborah@james-bowers.info,Marketing,https://schmidt.com/,Joseph Dominguez
34,Garcia Group,Jamesborough,jayjohnson@taylor.com,Education,http://www.duncan.com/,Suzanne Adams
35,Fox and Sons,Hollyton,lrich@gray.org,Healthcare,https://www.clark.com/,Kelsey Bailey
36,Walton-Maynard,Williamsfort,kirsten83@gibson.com,Technology,https://boyd-rodriguez.net/,John Rojas
37,Manning-Hernandez,East Christine,danapoole@kelley.com,Finance,https://www.elliott-obrien.com/,Chase Sanchez
38,Avery and Sons,Williamsbury,amanda26@garcia.info,Engineering,http://www.figueroa.net/,Robert Jones
39,Jackson Ltd,Hornberg,johnmoore@bennett.com,Marketing,https://miller-knight.com/,Clinton Jones
40,Yu-Cruz,North Leahshire,zhernandez@vaughn.com,Healthcare,https://williams.biz/,Jeffrey Gomez
41,Nelson Ltd,Lake Deniseview,maybenjamin@glover.com,Healthcare,http://www.gregory.biz/,Taylor Cox DDS
42,"Garza, Garcia and Murphy",Riveraside,tbrown@gray.com,Finance,http://www.allen-spencer.com/,Jennifer Foster
43,Marks-Miller,Romeromouth,deborahwalker@taylor.com,Finance,https://galvan.com/,Chad Anderson
44,Johnson-Singh,Hunterburgh,martintami@fernandez.com,Healthcare,http://www.jones-johnson.com/,Robert Rice
45,"Willis, Chan and Brown",Jacobshaven,james47@duncan.biz,Technology,https://www.mcbride.info/,Kevin Lee
46,Mcdonald-Lee,Markburgh,znolan@richards.com,Technology,https://howard-compton.com/,Melissa Espinoza
47,Christensen-Parks,East Taraborough,joyce14@smith.net,Marketing,http://www.james-west.com/,Stacy Webb
48,Harris-Thomas,Port Jeffreybury,nathanlin@downs-mayer.info,Technology,https://bailey-lucas.net/,Katie Pacheco
49,Smith Ltd,Port Josephtown,nicole42@kelly-willis.org,Healthcare,http://knight.com/,Ronald Kennedy
50,"Tran, Smith and Figueroa",Perryberg,terickson@edwards-harrison.net,Healthcare,https://sampson-smith.biz/,Yesenia Woods
51,Wallace-Sherman,Michaelside,maurice46@reed.com,Education,https://grant-jackson.com/,Sonya Ryan
52,"Wolf, Cook and Guerrero",Griffithside,gsanchez@clayton.com,Healthcare,http://www.strickland-bolton.com/,Mark Gibson PhD
53,Wilkinson Inc,East Davidview,rachel55@clark-cortez.info,Technology,http://griffin-hunter.com/,Marissa Jones
54,Griffith-Leach,East Michael,ibender@clay.com,Engineering,https://www.wright.biz/,Anne Weber
55,Sanchez-Burgess,Michaelville,hessangelica@soto.com,Marketing,http://www.hill-hanson.org/,Vanessa Mcfarland
56,Brown LLC,Kristenport,jonathanferguson@smith.biz,Education,http://smith-dorsey.info/,Heather Hill
57,"Weiss, Harper and Weaver",Port Kayla,jamesstewart@price-clark.com,Technology,http://www.peterson.biz/,Christine Wilcox
58,"Mills, Baldwin and Rivera",Markfort,paul42@ingram.info,Marketing,http://www.brooks.com/,Wanda Perez
59,"Johnson, Davenport and Miller",New Latoya,kevingreene@west-park.com,Technology,https://archer.com/,Chelsea Lin
60,Mitchell Inc,Port Eric,moraneric@martinez.com,Education,http://www.garcia.com/,Scott Ford
61,Chavez and Sons,Smithborough,carlosphillips@jensen.com,Healthcare,https://armstrong.com/,David Pratt
62,"Hill, Mason and Henry",West Terrimouth,sarah59@jacobs-zimmerman.com,Engineering,https://www.dunn.com/,Veronica Foster DVM
63,"Simon, Dean and Roth",Robinsonhaven,stevensantiago@ballard.com,Education,https://www.velez.com/,David Matthews
64,Solis Ltd,Michellestad,mary79@wise.com,Healthcare,https://green-hays.org/,Caitlin Smith
65,Delgado-Cook,Christophermouth,xbryan@griffin.info,Education,http://www.lawson-anthony.com/,Alexis Potter
66,Evans-Clarke,New Adriana,christina57@mcneil.biz,Finance,https://johnson.com/,Melissa Nixon
67,Novak Ltd,New Rebekahfurt,cassieliu@patel.com,Engineering,https://www.frost-white.com/,Anthony Hernandez
68,"Martin, Montes and Vazquez",Matthewfort,freemantamara@hurley-roberts.org,Technology,http://johnson-crosby.org/,Christopher Henderson
69,Sanchez-Richardson,North Paulstad,rebeccayates@roman.com,Technology,http://www.bradley.com/,Shelly Tucker
70,Hayes Ltd,Larryton,brandyortiz@chang.com,Engineering,http://www.butler-thomas.org/,Jody Benjamin
71,"Griffin, Watson and Harris",South Nicolestad,amberflores@roberts.com,Finance,https://ray.com/,Mr. Raymond Holmes
72,Hernandez and Sons,North Gregory,stricklandjennifer@weeks.org,Healthcare,https://griffin-ruiz.biz/,Paul Lopez
73,Williams-Freeman,South Scottport,sheila99@haynes-reynolds.org,Technology,https://www.mcintyre-wiggins.com/,Stephanie Johnson
74,Winters Inc,Brianstad,turnerpatricia@aguilar-harrison.info,Finance,http://www.roberts.info/,David Malone
75,Nelson-Mcdaniel,New Jacob,greenemichael@horne-sharp.com,Technology,http://armstrong-jacobs.com/,John Fischer
76,Martin-Clark,New Gregory,laura64@ellison.com,Marketing,https://ingram.com/,Cody Morris
77,Scott LLC,New Kevin,andreaduarte@nguyen-jimenez.biz,Healthcare,http://barnes.info/,Monica Bell PhD
78,"Leon, Smith and Moore",Maryside,jacksonamber@bauer.biz,Marketing,https://www.davis.com/,Elizabeth Garcia
79,"Garcia, Brown and Carlson",Brentberg,angela68@carson-ashley.com,Engineering,https://terrell.com/,Joshua Jackson DVM
80,"Zimmerman, Herrera and Noble",South Ravenberg,brittanyalvarado@juarez.org,Healthcare,https://wright-dunn.info/,Kelly Allen
81,Mora-Beasley,Campbellton,samuelwilliams@jackson-bailey.com,Finance,https://johnson-brown.com/,Kaitlin Herrera
82,"Washington, Buchanan and Jackson",Vanessastad,isanchez@anderson.com,Healthcare,https://stone.biz/,Karl Meadows
83,Jones-Wyatt,Heatherton,marcusgordon@brewer-thomas.com,Healthcare,http://burns-boyle.com/,Patricia Richardson
84,Ayala Group,West Nicolemouth,perezmegan@terry-thompson.com,Finance,http://www.clark.com/,Thomas Glenn
85,"Parks, Patton and Gates",East Michellestad,higginssteve@evans.com,Engineering,https://www.martinez-ward.biz/,Mrs. Crystal Hobbs MD
86,Gates Ltd,Donaldshire,pmedina@harrison-palmer.info,Healthcare,https://www.collins-hamilton.com/,Amy Fields
87,White-Flores,Rodneytown,sking@lane-stephens.com,Engineering,http://gonzalez.org/,Matthew Dawson
88,Ramirez-Gray,New Timothyport,jenkinsdavid@mooney-scott.com,Engineering,http://alvarez.com/,Eileen Cook
89,"Gonzalez, Stewart and Smith",Chambersmouth,robertscolleen@curtis-reid.com,Engineering,https://mays.com/,Ethan Turner
90,"Craig, Walters and Howell",South Kristina,hsmith@walker.com,Technology,https://mccarty.info/,Nicholas Simpson
91,Rodriguez-Ruiz,Paynehaven,ronald23@perez-harper.biz,Education,https://www.mann.com/,David Francis
92,"Hansen, Patrick and Cunningham",Douglasmouth,davidmclaughlin@white-williams.com,Engineering,http://johnson.info/,Emily Contreras
93,"Berger, Hatfield and Simmons",Burchton,qpage@watson.com,Finance,http://www.matthews.info/,Brenda Jones
94,Warren-Harris,North Sarahtown,harrislawrence@shea.com,Education,https://www.garcia.biz/,Craig Ramos
95,"Stephens, Miller and Smith",Lindseyland,wpalmer@smith-cruz.com,Engineering,http://nelson.com/,Jeffery Wolf
96,Richards and Sons,Frazierbury,james66@thornton.com,Finance,http://ball.com/,Yolanda Nichols
97,Miller Group,Port Ray,melissa73@olson.com,Finance,http://thompson.com/,Yolanda Lewis
98,Payne-Watkins,East Alexander,emmameyer@parks-scott.biz,Marketing,http://www.cunningham.com/,Melissa Douglas
99,"Phillips, Bowman and Schwartz",Fieldsview,catherine22@burke.com,Marketing,http://www.lucas-jackson.com/,Christopher Hunter
100,Sherman LLC,Sullivanland,zjones@richardson.com,Healthcare,http://gibson.com/,Logan Alexander
